"region","lon","lat"
"SAN JUAN","-66.12109","18.40019"
"ARECIBO","-66.56795","18.35825"
"ARECIBO","-66.39969","18.43197"
"SAN JUAN","-66.03416","18.41278"
"BAYAMON","-66.18355","18.40438"
"SAN JUAN","-66.1255","18.39606"
"PONCE","-66.4909","17.99454"
"PONCE","-66.54771","18.05104"
"PONCE","-66.54824","18.04971"
"MAYAGUEZ","-67.09782","18.48632"
"CAGUAS","-66.23547","18.25357"
"SAN JUAN","-65.98575","18.36965"
"MAYAGUEZ","-66.98115","18.27701"
"CAGUAS","-66.2187","18.22355"
"BAYAMON","-66.40972","18.35627"
"HUMACAO","-65.91383","18.3727"
"SAN JUAN","-66.04356","18.42757"
"ARECIBO","-66.55081","18.36364"
"PONCE","-66.50693","18.0613"
"HUMACAO","-65.47612","18.09832"
"PONCE","-66.6955","18.26701"
"PONCE","-66.66209","18.03512"
"HUMACAO","-65.91583","18.39002"
"SAN JUAN","-66.06586","18.45074"
"PONCE","-66.64463","18.00938"
"PONCE","-66.63531","18.07412"
"ARECIBO","-66.83379","18.18159"
"BAYAMON","-66.17287","18.34489"
"ARECIBO","-66.75505","18.44455"
"SAN JUAN","-66.06661","18.39722"
"MAYAGUEZ","-67.04663","18.08377"
"CAGUAS","-66.03645","18.21653"
"MAYAGUEZ","-67.00668","18.17701"
"SAN JUAN","-66.08094","18.41698"
"HUMACAO","-65.84837","18.17576"
"CAGUAS","-66.31499","18.19014"
"ARECIBO","-66.32461","18.40969"
"HUMACAO","-65.98483","17.97855"
"SAN JUAN","-66.08589","18.40596"
"CAGUAS","-66.26474","17.9481"
"SAN JUAN","-66.04872","18.42167"
"SAN JUAN","-66.02299","18.41119"
"MAYAGUEZ","-67.07786","18.16491"
"ARECIBO","-66.84753","18.48542"
"MAYAGUEZ","-66.95316","18.28826"
"SAN JUAN","-66.0547","18.41045"
"PONCE","-66.88604","18.15246"
"ARECIBO","-66.56535","18.37234"
"HUMACAO","-65.86748","18.17711"
"MAYAGUEZ","-67.05692","18.04897"
"HUMACAO","-65.84961","18.37947"
"PONCE","-66.63638","18.00529"
"HUMACAO","-65.80006","18.14178"
"PONCE","-66.66344","17.98348"
"ARECIBO","-66.38459","18.44501"
"PONCE","-66.55013","18.04644"
"PONCE","-66.86819","18.03055"
"MAYAGUEZ","-67.0467","18.08373"
"BAYAMON","-66.18587","18.4602"
"ARECIBO","-66.82068","18.48155"
"SAN JUAN","-65.96083","18.38453"
"MAYAGUEZ","-67.12787","18.44366"
"PONCE","-66.62923","17.98624"
"BAYAMON","-66.17691","18.40615"
"PONCE","-66.87173","18.01222"
"CAGUAS","-66.12094","17.98191"
"ARECIBO","-66.85207","18.46535"
"ARECIBO","-66.89158","18.43254"
"HUMACAO","-65.90108","18.37639"
"PONCE","-66.5049","18.04658"
"SAN JUAN","-66.04097","18.4478"
"BAYAMON","-66.25291","18.44053"
"ARECIBO","-66.77566","18.40733"
"SAN JUAN","-66.09184","18.39644"
"CAGUAS","-66.09312","18.17288"
"ARECIBO","-66.74674","18.4662"
"CAGUAS","-66.03114","18.22702"
"CAGUAS","-66.10552","18.2526"
"CAGUAS","-66.22447","18.21028"
"CAGUAS","-66.30545","18.1907"
"HUMACAO","-65.88035","18.38911"
"HUMACAO","-65.89445","18.07654"
"MAYAGUEZ","-67.13936","18.29424"
"PONCE","-66.49162","17.99439"
"SAN JUAN","-65.9861","18.40713"
"ARECIBO","-66.80866","18.45915"
"PONCE","-66.72525","18.26712"
"CAGUAS","-66.03687","18.2312"
"HUMACAO","-65.96116","18.18904"
"HUMACAO","-65.8449","18.20648"
"MAYAGUEZ","-67.15187","18.47391"
"MAYAGUEZ","-67.0591","18.04763"
"MAYAGUEZ","-67.13962","18.19982"
"PONCE","-66.89452","17.99822"
"PONCE","-66.84978","18.03198"
"SAN JUAN","-66.06457","18.44167"
"SAN JUAN","-66.04895","18.40019"
"ARECIBO","-66.26618","18.47445"
"SAN JUAN","-66.11382","18.42982"
"SAN JUAN","-66.11422","18.43065"
"MAYAGUEZ","-66.94919","18.07416"
"BAYAMON","-66.14257","18.39051"
"CAGUAS","-66.03664","18.22713"
"SAN JUAN","-66.049","18.44864"
"MAYAGUEZ","-66.99067","18.24953"
"CAGUAS","-66.11975","18.2571"
"ARECIBO","-66.29355","18.44889"
"HUMACAO","-65.7822","18.23751"
"HUMACAO","-65.83631","18.14278"
"SAN JUAN","-65.96129","18.39749"
"SAN JUAN","-66.07618","18.36228"
"MAYAGUEZ","-67.18349","18.38322"
"PONCE","-66.49979","18.12665"
"SAN JUAN","-66.07311","18.45368"
"PONCE","-66.88557","18.02262"
"MAYAGUEZ","-67.14468","18.20043"
"SAN JUAN","-66.03627","18.41334"
"BAYAMON","-66.45265","18.32295"
"SAN JUAN","-66.05075","18.4356"
"BAYAMON","-66.32008","18.34263"
"MAYAGUEZ","-67.02006","18.50045"
